EndingName,EndingName_ID
"1회차 승리, 카르마 상 엔딩",3001
"1회차 승리, 카르마 중 엔딩",3002
"1회차 승리, 카르마 하 엔딩",3003
"1회차 무승부, 카르마 상 엔딩",3004
"1회차 무승부, 카르마 중 엔딩",3005
"1회차 무승부, 카르마 하 엔딩",3006
"1회차 패배, 카르마 상 엔딩",3007
"1회차 패배, 카르마 중 엔딩",3008
"1회차 패배, 카르마 하 엔딩",3009
"2회차 승리루트 승리, 카르마 상 엔딩",3010
"2회차 승리루트 승리, 카르마 중 엔딩",3011
"2회차 승리루트 승리, 카르마 하 엔딩",3012
"2회차 승리루트 무승부, 카르마 상 엔딩",3013
"2회차 승리루트 무승부, 카르마 중 엔딩",3014
"2회차 승리루트 무승부, 카르마 하 엔딩",3015
"2회차 승리루트 패배, 카르마 상 엔딩",3016
"2회차 승리루트 패배, 카르마 중 엔딩",3017
"2회차 승리루트 패배, 카르마 하 엔딩",3018
"2회차 무승부루트 승리, 카르마 상 엔딩",3019
"2회차 무승부루트 승리, 카르마 중 엔딩",3020
"2회차 무승부루트 승리, 카르마 하 엔딩",3021
"2회차 무승부루트 무승부, 카르마 상 엔딩",3022
"2회차 무승부루트 무승부, 카르마 중 엔딩",3023
"2회차 무승부루트 무승부, 카르마 하 엔딩",3024
"2회차 무승부루트 패배, 카르마 상 엔딩",3025
"2회차 무승부루트 패배, 카르마 중 엔딩",3026
"2회차 무승부루트 패배, 카르마 하 엔딩",3027
"2회차 패배루트 승리, 카르마 상 엔딩",3028
"2회차 패배루트 승리, 카르마 중 엔딩",3029
"2회차 패배루트 승리, 카르마 하 엔딩",3030
"2회차 패배루트 무승부, 카르마 상 엔딩",3031
"2회차 패배루트 무승부, 카르마 중 엔딩",3032
"2회차 패배루트 무승부, 카르마 하 엔딩",3033
"2회차 패배루트 패배, 카르마 상 엔딩",3034
"2회차 패배루트 패배, 카르마 중 엔딩",3035
"2회차 패배루트 패배, 카르마 하 엔딩",3036
"3회차 승리루트 승리, 카르마 상 엔딩",3037
"3회차 승리루트 승리, 카르마 중 엔딩",3038
"3회차 승리루트 승리, 카르마 하 엔딩",3039
"3회차 승리루트 무승부, 카르마 상 엔딩",3040
"3회차 승리루트 무승부, 카르마 중 엔딩",3041
"3회차 승리루트 무승부, 카르마 하 엔딩",3042
"3회차 승리루트 패배, 카르마 상 엔딩",3043
"3회차 승리루트 패배, 카르마 중 엔딩",3044
"3회차 승리루트 패배, 카르마 하 엔딩",3045
"3회차 무승부루트 승리, 카르마 상 엔딩",3046
"3회차 무승부루트 승리, 카르마 중 엔딩",3047
"3회차 무승부루트 승리, 카르마 하 엔딩",3048
"3회차 무승부루트 무승부, 카르마 상 엔딩",3049
"3회차 무승부루트 무승부, 카르마 중 엔딩",3050
"3회차 무승부루트 무승부, 카르마 하 엔딩",3051
"3회차 무승부루트 패배, 카르마 상 엔딩",3052
"3회차 무승부루트 패배, 카르마 중 엔딩",3053
"3회차 무승부루트 패배, 카르마 하 엔딩",3054
"3회차 패배루트 승리, 카르마 상 엔딩",3055
"3회차 패배루트 승리, 카르마 중 엔딩",3056
"3회차 패배루트 승리, 카르마 하 엔딩",3057
"3회차 패배루트 무승부, 카르마 상 엔딩",3058
"3회차 패배루트 무승부, 카르마 중 엔딩",3059
"3회차 패배루트 무승부, 카르마 하 엔딩",3060
"3회차 패배루트 패배, 카르마 상 엔딩",3061
"3회차 패배루트 패배, 카르마 중 엔딩",3062
"3회차 패배루트 패배, 카르마 하 엔딩",3063
