EndingCutScene_ID,IMGName
400000001,InsideMacha
400000002,InsideMachaSchrodinger
400000003,Festival
400000004,SchrodingerOnMacha
400000005,Paper
400000006,SchrodingerNight
400000007,Country
400000008,SchrodingerInCommandRoom
400000009,InChurch
400000010,SchrodingerOutChurch
400000011,InPrison
400000012,SchrodingerOutPrison1
400000013,Ruins
400000014,Captivity
400000015,SchrodingerRuins
400000016,Hanging
400000017,DirtyPrison
400000018,SchrodingerOutPrison2
400000019,RuinHouse
400000020,GiggleSchrodinger
400000021,DownViewSchrodinger
