ID,AnswerID,Text_KR
500001,100029,지휘관은 전쟁 이후에도 피에르 소위와 좋은 관계를 유지 하고 있다.
500002,100030,전쟁 이후 지휘관은 계속해서 슈뢰딩거 박사의 흔적을 쫒고 있다.
500003,100057,장 미셸과의 관계는 완전히 깨져버렸다.
500004,100058,장 미셸은 당신을 높게 평가하며 전후에도 조력자가 되었다.
500005,100077,전쟁 중 쌓은 정계와 귀족들의 연줄은 전후 지휘관에게 큰 도움이 됐다.
500006,100078,전후에도 아직 이렇다 할 귀족과의 관계는 없다.
500007,100095,"전후 한 병사의 수기에는 지휘관의 연설에 대한 이야기가 적혀있다.
""마음을 울리는 목소리."""
500008,100096,"전후 한 병사의 수기에는 지휘관의 연설에 대한 이야기가 적혀있다.
""처음 연설을 해보는 듯한 과장된 몸동작.."""
500009,100109,전후 알게 된 전쟁 당시 병사들이 부르던 지휘관의 별명은 '악마 지휘관'이다.
500010,100110,전후 알게 된 전쟁 당시 병사들이 부르던 지휘관의 별명은 '부드러운 카리스마'이다.
500011,100157,풍문으로 지휘관이 적군 포로들을 죽였다는 소문이 돌게 되었다.
500012,100158,적군의 포로까지도 인간적으로 대하는 '신사 지휘관'이라는 별명이 퍼지게 되었다.
500013,100177,전후 지휘관이 수행한 작전들은 큰 피해를 남긴 작전으로 전쟁사에 남게 되었다.
500014,100178,전후 지휘관이 수행한 작전들은 가장 이상적인 작전으로 전쟁사에 남게 되었다.
