CharacterImg_ID,IMGName
0,Default
200000001,Pierre_Idle
200000002,Pierre_Surprise
200000003,Pierre_Smile
200000004,Pierre_Angry
200000005,Pierre_Worry
200000006,Schrodinger_Idle
200000007,Schrodinger_Surprise
200000008,Schrodinger_Smile
200000009,Schrodinger_Angry
200000010,Schrodinger_Quest
200000011,Jang_Idle
200000012,Jang_Hate
200000013,Jang_Angry
200000014,Jang_Smile
200000015,Jang_Worry
200000016,King_Idle
200000017,King_Bad
200000018,King_Smile
200000019,King_Angry
200000020,King_Worry
200000021,King_Sad
200000022,King_Surprise
200000023,LittleGirl
200000024,Nobility
200000025,Soldier
200000026,Spy_Idle
200000027,Spy_Bubble
200000028,Spy_pain
200000029,Priest
200000030,Citizen
200000031,Boy_Idle
200000032,Boy_Cry
200000033,Minister
200000034,Jang
200000035,Schrodinger_Danghok
200000036,Schrodinger_Sorry
200000037,SpaceMinister
200000038,WarMinister
200000039,Scientist
200000040,AyasiiMan
200000041,Fatman
200000042,AngryFatman
200000043,Strongwoman
200000044,AngryStrongwoman
