SFX_ID,SFXName
0,None
1000000001,Door
1000000002,FoodStep
1000000004,Gun
1000000005,Dalgurak
1000000006,Desk
1000000007,UngUng
1000000008,Electronic
1000000009,ChiZik
1000000010,Mic
1000000011,Repulsor
1000000012,Tank
1000000013,Boom
1000000014,Down
1000000015,Chulkak
1000000016,Giggle
1000000017,Puck
1000000018,GGang
1000000019,Snap
1000000020,Shot
1000000021,FoodStep2
1000000022,Whistle
1000000023,Alarm
1000000024,Dog
1000000025,Monkey
1000000026,Cloth
1000000027,DDU_DDU
1000000028,Kuang
1000000029,Sorum
1000000030,DDing
1000000031,PPI
1000000032,War
1000000033,Knock
