AnswerID,Text_KR,Text_EN,NextTextID,AnswerReward_Skill,Font_Direction
100001,“박사. 갑자기 사람을 소개시켜 준다는 게..”,,10002,Null,2000001
100002,“어떤 분 입니까?”,,10002,Null,2000001
100003,“그 옛날 전쟁인데..”,,10003,Null,2000001
100004,“굉장히 젊어 보이는 군요.”,,10003,Null,2000001
100005,‘타임머신을..’,,10004,Null,2000001
100006,‘만든 건가?’,,10004,Null,2000001
100007,“모처럼이니.. 의무대를 한번 봐주시죠.”,,10005,Null,2000001
100008,“창고에서 의료품들을 봐주시죠.”,,10009,Null,2000001
100009,“의무대는 이쪽입니다.”,,10006,Null,2000001
100010,“절 따라오시죠.”,,10006,Null,2000001
100011,“무언가 개선할 점이 있을까요?”,,10007,Null,2000001
100012,“무언가 부족한 것이 있을까요?”,,10007,Null,2000001
100013,"“하지만 이런 장비 없이도
많은 사람을 구해냈지 않습니까.”",,10008,Null,2000001
100014,"“나이팅게일님 덕분에
이만큼 발전 될 수 있었던 것 입니다.”",,10008,Null,2000001
100015,‘풀 컨디션 액티브’를 받아들인다.,,Null,2000001,2000001
100016,‘풀 컨디션 액티브’를 받아들이지 않는다.,,Null,Null,2000001
100017,“창고는 이쪽입니다.”,,10010,Null,2000001
100018,“절 따라오시죠.”,,10010,Null,2000001
100019,“보시기에 뭔가 부족한게 있을까요?”,,10011,Null,2000001
100020,“보시기에 뭔가 아쉬운게 있을까요?”,,10011,Null,2000001
100021,"“하지만 이런 약품 없이도
수많은 생명을 구해내지 않았습니까.”",,10012,Null,2000001
100022,"“나이팅게일님 덕분에
이만큼 발전 될 수 있었습니다.”",,10012,Null,2000001
100023,‘풀 컨디션 액티브’를 받아 들인다.,,Null,2000001,2000001
100024,‘풀 컨디션 액티브’를 받아 들이지 않는다.,,Null,Null,2000001
100025,“박사. 갑자기 사람을 소개시켜 준다는 게..”,,10014,Null,2000001
100026,“어떤 분 입니까?”,,10014,Null,2000001
100027,“반갑습니다.”,,10015,Null,2000001
100028,“저는 프란츠의 지휘관..”,,10015,Null,2000001
100029,“참모총장님. 영광입니다.”,,10016,Null,2000001
100030,“누추하지만 여기 앉으시죠”,,10016,Null,2000001
100031,“네 맞습니다.”,,10017,Null,2000001
100032,“그러나 고민중인 것이 있습니다.”,,10017,Null,2000001
100033,작전에 쓸 폭탄에 대한 고민,,10018,Null,2000001
100034,전술을 승인해야 하는 가에 대한 고민,,10023,Null,2000001
100035,전장의 위치를 가리킨다.,,10019,Null,2000001
100036,가지고 있는 물자 리스트를 보여준다.,,10021,Null,2000001
100037,“어쨌든 이곳을 초토화 시키는 것을..”,,10020,Null,2000001
100038,“이야기 하시는 거군요.”,,10020,Null,2000001
100039,‘전방 폭격’을 받아들인다.,,Null,2000002,2000001
100040,‘전방 폭격’을 받아들이지 않는다.,,Null,Null,2000001
100041,“우위를 점하기 위해서는..”,,10022,Null,2000001
100042,“화력이 필요 합니다.”,,10022,Null,2000001
100043,‘전방 폭격’을 받아들인다.,,Null,2000002,2000001
