Back_ID,IMGName,Explanation
300000001,CommandRoom.png,지휘관실
300000002,TrainingArea.png,훈련장
300000003,CTC.png,병과학전략화사령부
300000004,ThroneRoom.png,알현실
300000005,Infirmary.png,의무실
300000006,Prison.png,포로 감옥
300000007,MeetingRoom.png,회의실
300000008,Camp.png,병영캠프
300000009,Space.png,우주기술연구부
300000010,Seminar.png,세미나실
300000011,BattleField.png,전장
300000012,Demonstration.png,기술 시연회
300000013,Ground.png,간이 운동장
300000014,Trench.png,참호
300000015,BattleCommand.png,전시사령부
300000016,Ruins.png,도시 폐허
300000017,Refuge.png,피난민 캠프
300000018,BanquetHall.png,연회장
300000019,Corridor.png,왕궁 복도
300000020,Room.png,왕궁 방
300000021,Storage.png,왕궁 창고
300000022,Field.png,공터
300000023,Mountain.png,산길
300000024,Warehouse.png,물자창고
300000025,Discussion.png,휴전 논의실
300000026,Lodging.png,지휘관 숙소
