SFX_ID,SFXName,Explanation
1000000001,Door.mp3,문 열리는 소리
1000000002,FoodStep.mp3,시끄러운 발소리
1000000003,Paper.mp3,종이 샤라락 소리
1000000004,Gun.mp3,총 소리
1000000005,Dalgurak.mp3,그릇 달그락 거리는 소리
1000000006,Desk.mp3,책상을 쾅 치는 소리
1000000007,UngUng.mp3,웅웅거리는 소리
1000000008,Electronic.mp3,통신장비 소리
1000000009,ChiZik.mp3,치직 거리는 소리
1000000010,Mic.mp3,마이크 소리
1000000011,Repulsor.mp3,리펄서 빔 소리
1000000012,Tank.mp3,전차 소리
1000000013,Boom.mp3,폭발 소리
1000000014,Down.mp3,쓰러지는 소리
1000000015,Chulkak.mp3,철컥거리는 총소리
1000000016,Giggle.mp3,기분나쁜 웃음소리
1000000017,Puck.mp3,퍽하고 때리는 소리
1000000018,GGang.mp3,쇳덩이가 떨어지는 소리
1000000019,Snap.mp3,핑거스냅 소리
1000000020,Shot.mp3,뻥하는 공차는 소리
1000000021,FoodStep2.mp3,철벅거리는 발소리
1000000022,Whistle.mp3,휘슬 소리
1000000023,Alarm.mp3,알람소리
1000000024,Dog.mp3,강아지 소리
1000000025,Monkey.mp3,원숭이 소리
1000000026,Cloth.mp3,천을 확 걷는 소리
1000000027,DDU_DDU.mp3,뚜뚜 거리는 비프음
1000000028,Kuang.mp3,쇳덩이가 쾅하는 소리
1000000029,Sorum.mp3,바닥 갈리는 소리
1000000030,DDing.mp3,띵 하는 듀퐁 라이터 소리
1000000031,PPI.mp3,삐이 하는 비프음
1000000032,War.mp3,총알이 빗발 치는 소리
