AnswerID,Text_KR,Text_EN,NextTextID,AnswerReward,Font_Direction
100001,“여기..어디..”,,10002,,
100002,“누..누구..?”,,10002,,
100003,“가..갑자기 이게 무슨..”,,10003,,
100004,“지금 이게 무슨 상황인가!”,,10003,,
100005,“내가 앞장 서겠다. 전투준비!”,,10004,리더십 20 상승,2000009
100006,“적이 너무 많다.. 후퇴하라!”,,10012,리더십 20 하락,2000009
100007,참호에서 일어나 앞을 살핀다.,,10005,,
100008,참호에서 나가 몸을 숙여 앞을 살핀다.,,10005,,
100009,수류탄을 들고있는 손을 쏜다.,,10006,,2000009
100010,그 병사의 다리를 쏜다.,,10007,,2000009
100011,“참호에 은폐하여 전투를 이어가라!”,,10008,,2000009
100012,“전진! 앞으로 돌격하라!”,,10010,,2000009
100013,“참호에 은폐하여 전투를 이어가라!”,,10008,,2000009
100014,“전진! 앞으로 돌격하라!”,,10010,,2000009
100015,‘이거.. 전투가 길어지게 될 것 같군..’,,10009,,
100016,‘돌진을 했어야 했나..’,,10009,,
100017,깜짝 놀라며 다시 쇼파에서 일어난다.,,,,
100018,식은땀을 흘리며 쇼파에서 일어난다.,,,,
100019,‘제길.. 선택을..’,,10011,,
100020,‘선택을 잘못했나..’,,10011,,
100021,탄창 몇개와 소총을 챙긴다.,,10013,,
100022,참호 속에 있는 식료품을 챙긴다.,,10013,,
100023,고개를 숙이고 참호에서 퇴각 준비를 한다.,,10014,,2000009
100024,참호 위로 올라가 빠르게 전장을 달려 퇴각한다.,,10018,,2000009
100025,머리 위로 수류탄을 던진다.,,10015,,2000009
100026,머리 위로 소총을 들고 발포한다.,,10016,,2000009
100027,‘폭발음과 함께..’,,10017,,
100028,‘적들의 비명이 들린다.’,,10017,,
100029,‘스파크 터지는 소리와..’,,10017,,
100030,‘적들의 비명소리가 들린다.’,,10017,,
100031,참호 위로 뛰어 나와..,,10019,,
100032,전장을 달려간다.,,10019,,
100033,“조금만 더.. 힘내라!”,,10020,,
100034,“곧 포병들이 있는 곳에 도착한다!”,,10020,,
100035,“무슨 정보?”,,10022,,
100036,“여긴 어딘가?”,,10022,,
100037,“아니네.. 그냥..”,,10023,,
100038,“잠깐 좀 머리가 아파서..”,,10023,,
100039,“아니네.”,,10024,,
100040,“바로 진행하지.”,,10024,,
100041,“이자는.. 한스 대령의 부관..”,,10025,,
100042,“넬리안 조안센..”,,10025,,
100043,넬리안에게 조용히 다가간다.,,10026,,2000009
100044,모두가 보는 앞에서 제압한다.,,10033,,2000009
100045,속삭이기만 한다.,,10027,,2000009
100046,팔을 잡는다.,,10030,,2000009
100047,“부관! 저자를 막게!”,,10028,,2000009
100048,같이 뛰어나간다.,,10029,,2000009
100049,“너무 생생한 꿈이다..”,,,,
100050,“이게.. 꿈이였다고?”,,,,
100051,침대에서 식은땀을 흘리며 일어난다.,,,,
100052,거친숨을 몰아쉬며 침대에서 일어난다.,,,,
100053,돌지 못하게 팔을 꺾는다.,,10031,,2000009
100054,뒤로 돌게 놔둔다.,,10032,,2000009
100055,한쪽팔을 다리로 눌러 양팔을 모두 막는다.,,10034,,2000009
100056,더 강하게 팔을 꺾는다.,,10037,,2000009
100057,수갑을 채운다.,,10035,,2000009
100058,강하게 내려쳐 기절 시킨다.,,10036,,2000009
100059,문쪽으로 뛰어가는 넬리안의 다리를 잡는다.,,10038,,2000009
100060,코일건을 들고 문쪽으로 뛰어가는넬리안의 다리를 노린다.,,10039,,2000009
100061,‘난 분명 야근을..’,,10041,,
100062,‘야근을 하고 있었을 터인데..’,,10041,,
100063,‘생각보다 말을 잘하네.’,,10042,,
100064,‘예상외로 말을 잘하네.’,,10042,,
100065,“알겠습니다. 박사.”,,10043,,
100066,“좋습니다. 박사.”,,10043,,
100067,“그정도야 뭐.”,,10044,,2000009
100068,“제가 무대에 서는건 좀.”,,10049,,2000009
100069,‘박사가 사람은 좀 이상해도 기술은 확실하니까.’,,10045,,
100070,‘좀 걱정은 되는데 괜찮을 것이다.’,,10045,,
100071,“중성자탄?”,,10046,,
100072,“그게 무엇 입니까? 박사.”,,10046,,
100073,다급하게 박사의 손을 막는다.,,10047,,2000009
100074,다급하게 박사를 불러 세운다.,,10048,,2000009
100075,식은 땀을 흘리며 책상에서 일어난다.,,,,
100076,비명을 지르며 책상에서 일어난다.,,,,
100077,‘박사는 혼자서도 잘 할 것이다.’,,10050,,
100078,‘이틈에 잠시 주변을 구경하자.’,,10050,,
100079,‘이런 무기가 있다면 병력에 도움이 되겠어.’,,10051,,
100080,‘이런 기술이 있다면 물자 수송이 쉬워지겠어.’,,10051,,
100081,‘왠지 불안하다 무대에서 좀 떨어져 있자.’,,10052,,2000009
100082,‘꽤 흥미롭다. 가까이에서 봐야겠다.’,,10053,,2000009
100083,‘분명 내방 침대에서 자고 있었다.’,,10055,,
100084,‘폐허가 되긴 했지만 내 고향이다.’,,10055,,
100085,숨죽여 주변을 둘러본다.,,10056,,
100086,숨을 만한 곳을 찾아본다.,,10056,,
100087,재빠르게 그 집으로 숨는다.,,10057,,
100088,눈치를 보다가 빠르게 그 집으로 숨는다.,,10057,,
100089,“이곳 말고 도망칠 곳이 있니?”,,10058,,
100090,“피난민 캠프가 있니?”,,10058,,
100091,소녀와 함께 이동하기로 한다.,,10059,카르마 20 상승,2000009
100092,혼자 이동한다.,,10066,카르마 20 하락,2000009
100093,몰래 집을 빠져나와 도망치기 시작한다.,,10060,,2000009
100094,창문너머로 주변 상황을 지켜본다.,,10063,,2000009
100095,안전하지만 조금 돌아서 간다.,,10061,,2000009
100096,안전하지 않지만 빠르게 갈 수 있는 길로 간다.,,10062,,2000009
100097,땀을 흘리며 침대에서 일어난다.,,,,
100098,거친 숨을 몰아쉬며 침대에서 일어난다.,,,,
100099,뭔가 안심되는 꿈을 꾸었다.,,,,
100100,뭔가 다행이다 라는 생각이 드는 꿈을 꾸었다.,,,,
100101,조금 더 상황을 지켜본다.,,10064,,2000009
100102,3명 정도의 군인에게 들키지 않게 몰래 움직인다.,,10065,,2000009
100103,빠르게 문밖을 나와 달려간다.,,10067,,2000009
100104,창문너머로 주변 상황을 지켜본다.,,10070,,2000009
100105,지름길로 달린다.,,10068,,2000009
100106,지름길 보다 안전한 길을 택한다.,,10069,,2000009
100107,가슴이 답답한 채 침대에서 일어난다.,,,,
100108,슬픈 마음으로 침대에서 일어난다.,,,,
100109,조금 더 상황을 기다려 본다.,,10071,,2000009
100110,지금이 기회다 뛰어간다.,,10072,,2000009
100111,“나는 분명 점심시간에..”,,10074,,
100112,“잠시 눈을 붙였던 것 같은데..”,,10074,,
100113,‘소개가.. 뭔가 조잡한데..’,,10075,,
100114,‘소개가 아니라 조롱 같이 느껴지는군..’,,10075,,
100115,“미셸 지금 이게 무슨..”,,10076,,
100116,“이게 뭐하는 건가?”,,10076,,
100117,“물론 그건 아니네만..”,,10077,,
100118,“너무 갑작스럽군.”,,10077,,
100119,웃어 넘긴다.,,10078,,2000009
100120,화를 낸다.,,10083,정치력 20 하락,2000009
100121,악수를 청한다.,,10079,,2000009
100122,간단하게 목례한다.,,10081,,2000009
